Sep=;
DNS Ip; hostname; DNS Organization; whoami 'ns'; ns location; ns distance; whoami 'ecs'; whoami 'ip'; Akamai Edge; Akamai Edge Location; Akamai Edge Distance; Akamai Edge Pretransfer; Netflix Edge; Netflix Edge Location; Netflix Edge Distance; Netflix Edge Pretransfer; Youtube Edge; Youtube Edge Location; Youtube Edge Distance; Youtube Edge Pretransfer
194.150.168.168; dns.as250.net;  AS250 AS250.net Foundation; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
194.25.0.52; resolv-l.dtag.de;  AS3320 Deutsche Telekom AG; 217.237.149.220;  Wolfhagen,DE; 13; ; ; 104.85.254.234;  Berlin,DE; 13; 85.6; 3.251.50.149;  Dublin,IE; 27; 137.6; 142.250.185.110;  Mountain View,US; 20; 126.8
194.25.0.60; resolv-h.dtag.de;  AS3320 Deutsche Telekom AG; 217.237.149.155;  Jena,DE; 13; ; ; 104.102.10.199;  Hamburg,DE; 13; 73.0; 54.170.196.176;  Dublin,IE; 28; 152.0; 142.250.186.110;  Frankfurt am Main,DE; 20; 142.2
194.25.0.68; resolv-f.dtag.de;  AS3320 Deutsche Telekom AG; 217.237.150.30;  Köln,DE; 13; ; ; 104.125.18.76;  Frankfurt am Main,DE; 17; 140.0; 54.246.79.9;  Dublin,IE; 28; 118.2; 142.250.186.142;  Frankfurt am Main,DE; 20; 122.5
194.67.2.114; ns3.online.ru;  AS3216 PJSC Vimpelcom; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
194.98.65.65; cache0300.ns.eu.uu.net;  AS702 MCI Communications Services, Inc. d/b/a Verizon Business; 194.98.65.65;  Amsterdam,NL; 13; ; ; 104.98.143.45;  Amsterdam,NL; 12; 112.3; 54.246.79.9;  Dublin,IE; 28; 118.2; 216.58.213.142;  London,GB; 22; 172.4
195.129.12.83; cache0206.ns.eu.uu.net;  AS702 MCI Communications Services, Inc. d/b/a Verizon Business; 195.129.12.83;  Dortmund,DE; 13; ; ; 104.98.143.45;  Amsterdam,NL; 12; 112.3; 18.200.8.190;  Dublin,IE; 27; 120.1; 142.250.74.206;  Mountain View,US; 20; 354.8
195.178.160.1; ns.bahnhof.se;  AS8473 Bahnhof AB; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
195.182.110.132; dns-fra.de.ignite.net;  AS5400 British Telecommunications PLC; 195.182.110.131;  Frankfurt am Main,DE; 14; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 54.155.178.5;  Dublin,IE; 28; 124.9; 142.250.186.46;  Frankfurt am Main,DE; 20; 604.5
195.27.1.1; cns2.cw.net;  AS1273 Vodafone Group PLC; 195.10.35.44;  Stockholm,SE; 11; ; ; 23.32.108.33;  Stockholm,SE; 12; 46.8; 54.73.148.110;  Dublin,IE; 28; 120.0; 142.250.74.110;  Mountain View,US; 14; 92.8
